"OTU"	"Site_Species"	"Reads"	"x"	"y"	"Site"	"Species"
"OTU 1"	"Ice_TV"	32	1	19	"Iceland"	"Thamnolia"
"OTU 2"	"Ice_TV"	46	1	18	"Iceland"	"Thamnolia"
"OTU 3"	"Ice_TV"	0	1	17	"Iceland"	"Thamnolia"
"OTU 4"	"Ice_TV"	0	1	16	"Iceland"	"Thamnolia"
"OTU 5"	"Ice_TV"	17398	1	15	"Iceland"	"Thamnolia"
"OTU 6"	"Ice_TV"	0	1	14	"Iceland"	"Thamnolia"
"OTU 7"	"Ice_TV"	0	1	13	"Iceland"	"Thamnolia"
"OTU 8"	"Ice_TV"	0	1	12	"Iceland"	"Thamnolia"
"OTU 9"	"Ice_TV"	0	1	11	"Iceland"	"Thamnolia"
"OTU 10"	"Ice_TV"	0	1	10	"Iceland"	"Thamnolia"
"OTU 11"	"Ice_TV"	31	1	9	"Iceland"	"Thamnolia"
"OTU 12"	"Ice_TV"	0	1	8	"Iceland"	"Thamnolia"
"OTU 13"	"Ice_TV"	14	1	7	"Iceland"	"Thamnolia"
"OTU 14"	"Ice_TV"	0	1	6	"Iceland"	"Thamnolia"
"OTU 15"	"Ice_TV"	0	1	5	"Iceland"	"Thamnolia"
"OTU 16"	"Ice_TV"	0	1	4	"Iceland"	"Thamnolia"
"OTU 17"	"Ice_TV"	0	1	3	"Iceland"	"Thamnolia"
"OTU 18"	"Ice_TV"	0	1	2	"Iceland"	"Thamnolia"
"OTU 19"	"Ice_TV"	0	1	1	"Iceland"	"Thamnolia"
"OTU 20"	"Ice_TV"	0	1	0	"Iceland"	"Thamnolia"
"OTU 1"	"Ice_CI"	6	2	19	"Iceland"	"Cetraria"
"OTU 2"	"Ice_CI"	36831	2	18	"Iceland"	"Cetraria"
"OTU 3"	"Ice_CI"	32	2	17	"Iceland"	"Cetraria"
"OTU 4"	"Ice_CI"	0	2	16	"Iceland"	"Cetraria"
"OTU 5"	"Ice_CI"	12	2	15	"Iceland"	"Cetraria"
"OTU 6"	"Ice_CI"	0	2	14	"Iceland"	"Cetraria"
"OTU 7"	"Ice_CI"	7	2	13	"Iceland"	"Cetraria"
"OTU 8"	"Ice_CI"	0	2	12	"Iceland"	"Cetraria"
"OTU 9"	"Ice_CI"	4	2	11	"Iceland"	"Cetraria"
"OTU 10"	"Ice_CI"	0	2	10	"Iceland"	"Cetraria"
